beauty_paper,beauty_pc
86,41
100,67
6,14
3,22
2,22
2.7,51
19,2
16,41
16,45
1,23
16,29
18,35
16,55
57,1
53,18
57,44
50,14
49,9
43,21
49,15
45,33
47,22
40,52
44,17
45,42
66,7
33,55
33,33
34,33
37,25
37,28
35,33
32
33
37
30
35
30
69
63
77
67
78
78
22
29
23
25
25
29
22
23
25
28
28
27
